Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3, Node4, Magnitude4, Angle4, pu4
"N1136367", 12.47, 1,    7268.31,  -30.3,    1.0095, 2,    7560.14, -148.6,    1.0501, 3,    7522.86,   95.6,    1.0449, 0, 0, 0, 0
"M1069515", 12.47, 1,    7262.15,  -30.3,    1.0087, 2,    7559.72, -148.7,      1.05, 3,    7521.89,   95.6,    1.0448, 0, 0, 0, 0
"M1069131", 12.47, 1,       7454,  -30.5,    1.0353, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"P827534", 12.47, 1,    7453.98,  -30.5,    1.0353, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1069530", 12.47, 2,    7530.39, -148.5,     1.046, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1069184", 12.47, 1,     7493.3,  -29.9,    1.0408, 2,    7486.24, -149.3,    1.0398, 3,    7515.91,   91.1,    1.0439, 0, 0, 0, 0
"L3159645", 12.47, 1,    7374.08,  -31.2,    1.0242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1069632", 12.47, 2,     7507.2, -148.6,    1.0427, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"P829957", 12.47, 3,    7576.92,   91.4,    1.0524, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3160863", 12.47, 3,    7571.58,   91.4,    1.0517, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"P829963", 12.47, 2,    7615.46, -148.0,    1.0578, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1010014", 12.47, 1,    7168.46,  -31.9,   0.99568, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"N1137998", 12.47, 3,    7400.45,   95.7,    1.0279, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3048199", 12.47, 2,    7255.82, -149.6,    1.0078, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3067478", 12.47, 1,    7340.41,  -28.3,    1.0196, 2,    7684.63, -147.2,    1.0674, 3,    7588.04,   94.7,     1.054, 0, 0, 0, 0
"M1125994", 12.47, 1,    7332.27,  -28.3,    1.0184, 2,    7687.71, -147.2,    1.0678, 3,    7588.32,   94.8,     1.054, 0, 0, 0, 0
"M1047480", 12.47, 1,    7345.79,  -31.3,    1.0203, 2,    7362.09, -149.4,    1.0226, 3,    7377.27,   95.6,    1.0247, 0, 0, 0, 0
"M1069483", 12.47, 1,    7344.58,  -31.3,    1.0201, 2,    7358.55, -149.4,    1.0221, 3,    7376.19,   95.5,    1.0245, 0, 0, 0, 0
"L2841615", 12.47, 1,    7321.69,  -31.6,     1.017, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2673305", 12.47, 2,    7502.87, -149.0,    1.0421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1047721", 12.47, 1,    7251.57,  -30.4,    1.0072, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1026366", 12.47, 1,    7385.71,  -30.5,    1.0259, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3104131", 12.47, 1,    7384.81,  -30.5,    1.0257, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2973167", 12.47, 1,    7268.85,  -31.4,    1.0096, 2,    7403.74, -149.2,    1.0284, 3,    7354.17,   95.8,    1.0215, 0, 0, 0, 0
"M1027055", 12.47, 1,     7201.6,  -31.8,    1.0003, 2,    7360.09, -149.8,    1.0223, 3,    7378.15,   95.8,    1.0248, 0, 0, 0, 0
"N1134475", 12.47, 1,    7321.79,  -29.7,     1.017, 2,    7547.88, -148.2,    1.0484, 3,    7518.85,   95.6,    1.0443, 0, 0, 0, 0
"L3067447", 12.47, 1,    7302.31,  -28.1,    1.0143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1108350", 12.47, 3,    7547.28,   92.2,    1.0483, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3139598", 12.47, 2,    7410.42, -150.0,    1.0293, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"N1140829", 12.47, 3,    7349.87,   95.8,    1.0209, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3085397", 12.47, 1,    3644.41,   35.7,    0.5062, 2,    7273.09, -149.6,    1.0102, 3,    3644.41,   35.7,    0.5062, 4, 1.65797E-020,   35.7, 2.3029E-024
"N1139540", 12.47, 1,     7483.7,  -30.0,    1.0395, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2748140", 12.47, 1,     7244.5,  -31.7,    1.0062, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3141412", 12.47, 1,    7244.42,  -31.7,    1.0062, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1069619", 12.47, 2,    7511.61, -148.6,    1.0433, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1047769", 12.47, 2,     7287.9, -149.6,    1.0123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3197632", 12.47, 1,    3651.79,   35.7,   0.50722, 2,    7287.77, -149.6,    1.0123, 3,    3651.79,   35.7,   0.50722, 4, 1.65722E-020,   35.7, 2.3018E-024
"L2785524", 12.47, 3,    7504.82,   91.2,    1.0424, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"P827495", 12.47, 2,    7404.03, -150.1,    1.0284, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2991921", 12.47, 3,    7527.76,   90.6,    1.0456, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2710510", 12.47, 3,    7523.24,   90.9,     1.045, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3197628", 12.47, 3,    7523.19,   90.9,     1.045, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"N1140831", 12.47, 3,     7345.2,   95.8,    1.0202, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"N1136358", 12.47, 3,    7527.03,   95.6,    1.0455, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3104119", 12.47, 1,    7345.71,  -31.3,    1.0203, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2842329", 12.47, 3,    7586.67,   94.0,    1.0538, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1125961", 12.47, 3,    7586.83,   94.0,    1.0538, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2973791", 12.47, 1,    7318.14,  -28.2,    1.0165, 2,    7694.24, -147.1,    1.0687, 3,    7588.91,   95.0,    1.0541, 0, 0, 0, 0
"L3179650", 12.47, 1,    7313.55,  -28.2,    1.0158, 2,    7696.34, -147.0,     1.069, 3,    7589.08,   95.1,    1.0541, 0, 0, 0, 0
"P860843", 12.47, 3,    7590.86,   92.2,    1.0544, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1026961", 12.47, 1,    7236.33,  -31.7,    1.0051, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2710516", 12.47, 1,    7236.03,  -31.7,    1.0051, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3160864", 12.47, 2,    7622.05, -148.0,    1.0587, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1047623", 12.47, 1,    7208.42,  -30.6,    1.0012, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2748157", 12.47, 1,    7208.36,  -30.6,    1.0012, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3048212", 12.47, 1,    7327.06,  -31.6,    1.0177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3122824", 12.47, 1,    7385.65,  -30.5,    1.0258, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2879089", 12.47, 3,    7372.35,   95.8,     1.024, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2937757", 12.47, 3,    7528.63,   91.3,    1.0457, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3067448", 12.47, 3,     7528.5,   91.3,    1.0457, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"193-46661", 12.47, 3,     7407.6,   95.6,    1.0289, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1069390", 12.47, 1,    7321.86,  -31.2,     1.017, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2897801", 12.47, 1,    7321.44,  -31.2,    1.0169, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1108527", 12.47, 2,     7526.9, -147.2,    1.0455, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1009650", 12.47, 1,    7258.62,  -31.4,    1.0082, 2,    7404.93, -149.2,    1.0285, 3,    7343.96,   95.8,    1.0201, 0, 0, 0, 0
"E203026", 12.47, 1,    7258.62,  -31.4,    1.0082, 2,    7404.93, -149.2,    1.0285, 3,    7343.97,   95.8,    1.0201, 0, 0, 0, 0
"M1026779", 12.47, 1,    7242.92,  -31.7,     1.006, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2973169", 12.47, 1,     7242.8,  -31.7,     1.006, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1026953", 12.47, 2,    7361.07, -149.8,    1.0224, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"Q14734", 12.47, 1,    7465.97,  -28.4,     1.037, 2,    7526.12, -147.1,    1.0454, 3,    7498.86,   95.6,    1.0416, 0, 0, 0, 0
"L3197631", 12.47, 1,    7368.95,  -31.2,    1.0235, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2748127", 12.47, 1,    7368.88,  -31.2,    1.0235, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1209814", 12.47, 1,    7575.24,  -29.4,    1.0522, 2,    7558.75, -148.9,    1.0499, 3,    7571.91,   91.1,    1.0517, 0, 0, 0, 0
"M1209811", 12.47, 1,    7574.13,  -29.4,     1.052, 2,     7562.7, -148.9,    1.0504, 3,    7573.16,   91.2,    1.0519, 0, 0, 0, 0
"L2729408", 12.47, 2,    7368.61, -149.7,    1.0235, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3048228", 12.47, 3,    7534.69,   92.1,    1.0465, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2991940", 12.47, 3,    7534.55,   92.1,    1.0465, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1108395", 12.47, 1,     7320.9,  -28.3,    1.0169, 2,    7676.94, -147.2,    1.0663, 3,    7580.83,   94.8,     1.053, 0, 0, 0, 0
"L2728247", 12.47, 1,    7320.81,  -28.3,    1.0168, 2,    7676.87, -147.2,    1.0663, 3,    7580.77,   94.8,    1.0529, 0, 0, 0, 0
"L2804271", 12.47, 2,    7530.45, -148.5,     1.046, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2916234", 12.47, 1,       7228,  -31.5,     1.004, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2673316", 12.47, 1,    7480.45,  -29.5,     1.039, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"N1138607", 12.47, 1,     7323.3,  -31.2,    1.0172, 2,    7307.87, -149.7,     1.015, 3,    7368.46,   95.4,    1.0235, 0, 0, 0, 0
"L3159448", 12.47, 1,    7323.37,  -31.2,    1.0172, 2,    7307.82, -149.6,     1.015, 3,    7367.82,   95.4,    1.0234, 0, 0, 0, 0
"L3048890", 12.47, 3,    7505.12,   91.2,    1.0424, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1166402", 12.47, 3,    7504.56,   91.2,    1.0424, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3010563", 12.47, 1,    7247.04,  -31.7,    1.0066, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2841623", 12.47, 1,    7247.01,  -31.7,    1.0066, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1125940", 12.47, 2,    7621.77, -148.0,    1.0586, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2991908", 12.47, 1,    7350.94,  -31.2,     1.021, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3178973", 12.47, 1,    7350.88,  -31.2,     1.021, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1047826", 12.47, 2,    7254.41, -149.6,    1.0076, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1047767", 12.47, 2,    7288.11, -149.6,    1.0123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2879068", 12.47, 2,    7284.91, -149.6,    1.0119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3066819", 12.47, 1,    7418.21,  -30.5,    1.0304, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3104853", 12.47, 1,    3804.64,  -82.3,   0.52845, 2,    3804.64,  -82.3,   0.52845, 3,    7592.14,   92.7,    1.0545, 4, 1.6434E-020,  -82.3, 2.2826E-024
"221-311359", 12.47, 1,    7539.31,  -29.2,    1.0472, 2,    7595.63, -148.5,     1.055, 3,    7580.67,   91.9,    1.0529, 0, 0, 0, 0
"L3234149", 12.47, 1,    7539.28,  -29.2,    1.0472, 2,    7595.59, -148.5,     1.055, 3,     7580.6,   91.9,    1.0529, 4, 3.81445E-021,  121.4, 5.2982E-025
"N1139537", 12.47, 1,    7436.33,  -30.5,    1.0329, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2673346", 12.47, 1,    7417.53,  -30.5,    1.0303, 2,    7391.89, -150.1,    1.0267, 3,    7530.37,   90.6,    1.0459, 0, 0, 0, 0
"L3254210", 12.47, 3,    7525.19,   90.8,    1.0452, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2955005", 12.47, 2,    7675.13, -147.3,    1.0661, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1108372", 12.47, 2,    7675.07, -147.3,     1.066, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2936268", 12.47, 3,    7578.72,   91.6,    1.0527, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2688692", 12.47, 1,    7496.93,  -29.3,    1.0413, 2,    7565.69, -148.5,    1.0509, 3,    7563.12,   91.8,    1.0505, 0, 0, 0, 0
"M1108286", 12.47, 1,    7496.69,  -29.3,    1.0413, 2,    7565.36, -148.5,    1.0508, 3,     7562.9,   91.8,    1.0505, 0, 0, 0, 0
"L2804247", 12.47, 2,     7291.5, -150.3,    1.0128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1047744", 12.47, 1,    7334.29,  -31.1,    1.0187, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3178971", 12.47, 1,    7334.29,  -31.1,    1.0187, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3728040", 12.47, 1,    7341.81,  -31.3,    1.0198, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3728041", 12.47, 1,    7341.68,  -31.3,    1.0197, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1069509", 12.47, 1,    7294.44,  -30.0,    1.0132, 2,    7553.04, -148.5,    1.0491, 3,    7522.55,   95.6,    1.0449, 0, 0, 0, 0
"L2766738", 12.47, 1,    7289.45,  -30.1,    1.0125, 2,    7554.75, -148.5,    1.0493, 3,    7522.78,   95.6,    1.0449, 0, 0, 0, 0
"L3104128", 12.47, 1,       7485,  -29.4,    1.0396, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2673315", 12.47, 1,    7484.65,  -29.4,    1.0396, 2,    3750.67,  155.7,   0.52096, 3,    3750.67,  155.7,   0.52096, 4, 1.64787E-020,  155.7, 2.2888E-024
"L3047289", 12.47, 1,    7485.35,  -29.4,    1.0397, 2,    7549.88, -148.6,    1.0487, 3,    7552.16,   91.7,     1.049, 0, 0, 0, 0
"L2785516", 12.47, 2,    7498.86, -149.0,    1.0416, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3048963", 12.47, 2,    7621.75, -148.0,    1.0586, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"D5799561-2_INT", 12.47, 1,    7493.84,  -28.8,    1.0409, 2,    7630.22, -148.0,    1.0598, 3,    7591.94,   92.7,    1.0545, 0, 0, 0, 0
"M1069199", 12.47, 3,    7507.53,   91.2,    1.0428, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2785525", 12.47, 3,    7507.48,   91.2,    1.0428, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3198356", 12.47, 3,    7547.06,   92.2,    1.0483, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3197641", 12.47, 1,    7331.59,  -31.3,    1.0183, 2,     3673.8,  153.9,   0.51028, 3,     3673.8,  153.9,   0.51028, 4, 1.65492E-020,  153.9, 2.2986E-024
"L2973161", 12.47, 1,    7331.51,  -31.3,    1.0183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"E183493", 12.47, 1,    7522.82,  -28.9,    1.0449, 2,    7613.61, -148.1,    1.0575, 3,    7592.03,   92.3,    1.0545, 0, 0, 0, 0
"M1125902", 12.47, 1,    7523.95,  -28.9,    1.0451, 2,    7612.99, -148.1,    1.0574, 3,    7591.67,   92.3,    1.0545, 0, 0, 0, 0
"L3085402", 12.47, 1,    7381.77,  -30.5,    1.0253, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1026394", 12.47, 1,    7381.69,  -30.5,    1.0253, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1047768", 12.47, 2,    7288.33, -149.6,    1.0123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"P827554", 12.47, 2,    7288.18, -149.6,    1.0123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2991909", 12.47, 1,    7291.46,  -31.7,    1.0128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1026736", 12.47, 2,    7245.02, -149.8,    1.0063, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1026986", 12.47, 1,    7228.35,  -31.8,     1.004, 2,    7360.37, -149.8,    1.0223, 3,     7386.4,   95.8,     1.026, 0, 0, 0, 0
"M1026997", 12.47, 1,    7224.87,  -31.8,    1.0035, 2,    7359.81, -149.8,    1.0223, 3,    7385.05,   95.8,    1.0258, 0, 0, 0, 0
"M4118755", 12.47, 1,    7561.75,  -29.3,    1.0503, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1026978", 12.47, 1,    7231.73,  -31.8,    1.0045, 2,    7360.91, -149.8,    1.0224, 3,    7387.69,   95.8,    1.0261, 0, 0, 0, 0
"M1026979", 12.47, 1,    7231.63,  -31.8,    1.0045, 2,    7360.89, -149.8,    1.0224, 3,    7387.66,   95.8,    1.0261, 0, 0, 0, 0
"L3082981", 12.47, 3,     7515.5,   92.1,    1.0439, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3235275", 12.47, 1,    7393.13,  -30.5,    1.0269, 2,    7353.49, -150.2,    1.0214, 3,    7533.16,   90.6,    1.0463, 0, 0, 0, 0
"M1026347", 12.47, 1,    7391.06,  -30.5,    1.0266, 2,    7350.51, -150.2,     1.021, 3,    7533.76,   90.6,    1.0464, 0, 0, 0, 0
"L2915534", 12.47, 1,    7321.82,  -31.2,     1.017, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2710519", 12.47, 1,    7418.33,  -30.5,    1.0304, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1026820", 12.47, 1,    7308.88,  -31.6,    1.0152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3141403", 12.47, 1,    7308.05,  -31.6,    1.0151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3197633", 12.47, 1,    7335.78,  -31.1,    1.0189, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1069500", 12.47, 1,    7208.78,  -30.6,    1.0013, 2,     7549.7, -148.8,    1.0486, 3,    7508.45,   95.6,    1.0429, 0, 0, 0, 0
"M1069382", 12.47, 1,    7323.16,  -31.2,    1.0172, 2,    7310.25, -149.7,    1.0154, 3,    7372.94,   95.4,    1.0241, 0, 0, 0, 0
"N1147866", 12.47, 1,    7261.16,  -31.4,    1.0086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2710537", 12.47, 1,    3655.53,   35.0,   0.50774, 2,    7295.23, -150.3,    1.0133, 3,    3655.53,   35.0,   0.50774, 4, 1.65681E-020,   35.0, 2.3013E-024
"M1026935", 12.47, 2,    7360.59, -149.8,    1.0224, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1108364", 12.47, 3,    7530.25,   92.1,    1.0459, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2897789", 12.47, 2,    7506.92, -148.6,    1.0427, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1026466", 12.47, 2,    7404.02, -150.1,    1.0284, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3160878", 12.47, 3,    7578.05,   92.2,    1.0526, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2917336", 12.47, 3,    7577.79,   92.2,    1.0525, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1026977", 12.47, 1,    7233.11,  -31.7,    1.0047, 2,    7361.16, -149.8,    1.0224, 3,    7388.21,   95.8,    1.0262, 0, 0, 0, 0
"P895082", 12.47, 2,    7527.01, -147.2,    1.0455, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3214112", 12.47, 2,    7249.45, -149.8,    1.0069, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3160104", 12.47, 2,    7248.41, -149.8,    1.0068, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2973144", 12.47, 3,    7505.92,   91.2,    1.0426, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2748152", 12.47, 2,    7360.85, -149.8,    1.0224, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1108387", 12.47, 1,     7321.2,  -28.3,    1.0169, 2,    7677.27, -147.2,    1.0664, 3,    7581.16,   94.8,     1.053, 0, 0, 0, 0
"L2955055", 12.47, 2,    7613.09, -148.0,    1.0574, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2991907", 12.47, 1,    7482.87,  -30.0,    1.0394, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1047812", 12.47, 2,    7265.43, -149.6,    1.0091, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M4350438", 12.47, 2,    7265.05, -149.6,    1.0091, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"N1142103", 12.47, 1,    7278.96,  -28.0,     1.011, 2,    7712.03, -146.8,    1.0712, 3,    7591.09,   95.6,    1.0544, 0, 0, 0, 0
"L3104830", 12.47, 1,    7278.19,  -28.0,    1.0109, 2,    7712.38, -146.8,    1.0712, 3,    7591.15,   95.6,    1.0544, 0, 0, 0, 0
"L3197626", 12.47, 3,    7522.45,   92.1,    1.0448, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1047483", 12.47, 1,    7346.68,  -31.3,    1.0204, 2,    7364.54, -149.4,    1.0229, 3,    7378.04,   95.6,    1.0248, 0, 0, 0, 0
"M4277837", 12.47, 1,    7327.65,  -31.2,    1.0178, 2,    7320.67, -149.6,    1.0168, 3,    7373.12,   95.5,    1.0241, 0, 0, 0, 0
"L3160102", 12.47, 1,    7280.89,  -31.7,    1.0113, 2,    7358.14, -149.8,     1.022, 3,    7399.38,   95.7,    1.0278, 4, 2.26687E-020,  104.4, 3.1486E-024
"P827514", 12.47, 1,    7279.15,  -31.7,    1.0111, 2,    7355.14, -149.8,    1.0216, 3,    7399.22,   95.7,    1.0277, 0, 0, 0, 0
"L3160793", 12.47, 1,    3802.32,  -80.4,   0.52813, 2,    3802.32,  -80.4,   0.52813, 3,    7587.52,   94.6,    1.0539, 4, 1.64359E-020,  -80.4, 2.2829E-024
"N1147860", 12.47, 3,    7398.44,   95.7,    1.0276, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3177881", 12.47, 3,    7398.37,   95.7,    1.0276, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"D5835167-6_INT", 12.47, 1,     7259.3,  -31.4,    1.0083, 2,    7404.94, -149.2,    1.0285, 3,    7346.45,   95.8,    1.0204, 0, 0, 0, 0
"Q14414", 12.47, 1,     7259.3,  -31.4,    1.0083, 2,    7404.94, -149.2,    1.0285, 3,    7346.44,   95.8,    1.0204, 0, 0, 0, 0
"L3048221", 12.47, 1,    7259.42,  -31.4,    1.0083, 2,    7404.94, -149.2,    1.0285, 3,    7346.92,   95.8,    1.0205, 0, 0, 0, 0
"L2748128", 12.47, 3,    7516.03,   92.1,     1.044, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2913406", 12.47, 2,    7253.83, -149.8,    1.0075, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1069563", 12.47, 1,    7295.52,  -29.9,    1.0133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"N1136360", 12.47, 1,    7295.47,  -29.9,    1.0133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1166366", 12.47, 1,    7520.24,  -29.1,    1.0445, 2,    7612.87, -148.3,    1.0574, 3,    7585.91,   92.2,    1.0537, 0, 0, 0, 0
"196-29518", 12.47, 1,    7277.65,  -31.7,    1.0108, 2,    7367.76, -149.8,    1.0234, 3,    7398.17,   95.7,    1.0276, 0, 0, 0, 0
"L2805035", 12.47, 1,    7512.99,  -29.0,    1.0435, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1026713", 12.47, 1,    7260.98,  -31.4,    1.0085, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2991922", 12.47, 1,    7439.22,  -30.5,    1.0333, 2,    7417.84, -150.1,    1.0303, 3,    7533.13,   90.6,    1.0463, 0, 0, 0, 0
"L3104145", 12.47, 2,    7517.16, -148.6,    1.0441, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
